Select,CRN,Subj,CrseNum,Section,CMP,Credits,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructors,Date,Location,Attributes
NR,10235,CSCI,101,A,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,01:00pm-01:50pm,60,59,1,0,0,0,0,0,0,"Grace Katherine Jung (P), Robert Haven Thompson",01/11-05/13,MZ 235,UG_Req
C,10811,CSCI,101,B,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,02:00pm-02:50pm,60,63,-3,0,0,0,0,0,0,Robert Haven Thompson (P),01/11-05/13,MZ 235,UG_Req
C,10812,CSCI,101,C,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,03:00pm-03:50pm,60,60,0,0,0,0,0,0,0,Robert Haven Thompson (P),01/11-05/13,AH 330,UG_Req
C,10264,CSCI,101,D,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,01:00pm-01:50pm,65,66,-1,0,0,0,0,0,0,"Clark Scholten (P), Robert Haven Thompson",01/11-05/13,BB W250,UG_Req
NR,11319,CSCI,101,E,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,02:00pm-02:50pm,65,62,3,0,0,0,0,0,0,"Megan Kinsley Shapiro (P), Robert Haven Thompson",01/11-05/13,AH 340,UG_Req
NR,11320,CSCI,101,F,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,03:00pm-03:50pm,65,58,7,0,0,0,0,0,0,"Megan Kinsley Shapiro (P), Robert Haven Thompson",01/11-05/13,AH 340,UG_Req
NR,11321,CSCI,101,G,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,04:00pm-04:50pm,65,58,7,0,0,0,0,0,0,"Clark Scholten (P), Robert Haven Thompson",01/11-05/13,CK 130,UG_Req
NR,11322,CSCI,101,H,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,04:00pm-04:50pm,65,64,1,0,0,0,0,0,0,"Rion Gipson- Hansen (P), Robert Haven Thompson",01/11-05/13,BB W250,UG_Req
NR,12221,CSCI,101,I,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,03:00pm-03:50pm,65,62,3,0,0,0,0,0,0,"Connor Allan Barnes (P), Robert Haven Thompson",01/11-05/13,MZ 326,UG_Req
NR,11126,CSCI,102,A,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,09:30am-10:45am,60,58,2,0,0,0,0,0,0,"Tanner Scott Lee (P), Christine Liebe",01/11-05/13,MZ 022,No_Special_Notes
NR,11127,CSCI,102,B,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,09:30am-10:45am,90,89,1,0,0,0,0,0,0,"Kyle Shay Thomas Moran (P), Christine Liebe",01/11-05/13,CK 130,No_Special_Notes
C,11128,CSCI,102,C,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,11:00am-12:15pm,95,95,0,0,0,0,0,0,0,"Eric William Roels (P), Christine Liebe",01/11-05/13,CK 130,No_Special_Notes
C,11323,CSCI,102,D,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,11:00am-12:15pm,60,60,0,0,0,0,0,0,0,Christine Liebe (P),01/11-05/13,MZ 022,No_Special_Notes
C,11324,CSCI,102,E,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,03:30pm-04:45pm,60,60,0,0,0,0,0,0,0,"Eric William Roels (P), Christine Liebe",01/11-05/13,MZ 022,No_Special_Notes
NR,11325,CSCI,102,F,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,03:30pm-04:45pm,60,58,2,0,0,0,0,0,0,"Shane Romero (P), Christine Liebe",01/11-05/13,MZ 026,No_Special_Notes
NR,11575,CSCI,102,G,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,02:00pm-03:15pm,60,18,42,0,0,0,0,0,0,"JoAnn Regina Hemann (P), Christine Liebe",01/11-05/13,MZ 022,No_Special_Notes
C,11928,CSCI,102,OL,O,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,AAA,00:00zm-00:00zm,40,40,0,0,0,0,0,0,0,Christine Liebe (P),01/11-03/08,ONLINE,No_Special_Notes
NR,10827,CSCI,250,A,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,03:00pm-03:50pm,72,71,1,0,0,0,0,0,0,Phillip Richardson Romig (P),01/11-05/13,MZ 022,UG_Req
NR,10828,CSCI,250,B,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,01:00pm-01:50pm,70,63,7,0,0,0,0,0,0,Phillip Richardson Romig (P),01/11-05/13,MZ 022,UG_Req
NR,10042,CSCI,261,B,C,3.000,PROGRAMMING CONCEPTS,MWF,09:00am-09:50am,60,49,11,0,0,0,0,0,0,"Amy N Hong (P), Jeffrey R Paone",01/11-05/13,MZ 022,UG_Req
NR,10043,CSCI,261,C,C,3.000,PROGRAMMING CONCEPTS,MWF,10:00am-10:50am,60,58,2,0,0,0,0,0,0,Jeffrey R Paone (P),01/11-05/13,MZ 022,UG_Req
NR,10044,CSCI,261,D,C,3.000,PROGRAMMING CONCEPTS,MWF,11:00am-11:50am,60,59,1,0,0,0,0,0,0,Jeffrey R Paone (P),01/11-05/13,MZ 022,UG_Req
C,10788,CSCI,261,E,C,3.000,PROGRAMMING CONCEPTS,MWF,12:00pm-12:50pm,60,60,0,0,0,0,0,0,0,"Armando Eric Ocampo (P), Jeffrey R Paone",01/11-05/13,MZ 022,UG_Req
NR,10045,CSCI,262,A,C,3.000,DATA STRUCTURES,MW,12:00pm-12:50pm,60,59,1,0,0,0,0,0,0,Christopher Robert Painter- Wakefield (P),01/11-05/13,MZ 126,UG_Req
C,10046,CSCI,262,B,C,3.000,DATA STRUCTURES,MW,01:00pm-01:50pm,60,60,0,0,0,0,0,0,0,Christopher Robert Painter- Wakefield (P),01/11-05/13,MZ 126,UG_Req
NR,11129,CSCI,262,C,C,3.000,DATA STRUCTURES,MW,02:00pm-02:50pm,60,37,23,0,0,0,0,0,0,"Joseph R Lovato (P), Christopher Robert Painter- Wakefield",01/11-05/13,BE 243,UG_Req
NR,10813,CSCI,262,R01 ,C,0.000,DATA STRUCTURES,F,12:00pm-12:50pm,60,56,4,0,0,0,0,0,0,Christopher Robert Painter- Wakefield (P),01/11-05/13,MZ 026,UG_Req
NR,10864,CSCI,262,R02 ,C,0.000,DATA STRUCTURES,F,01:00pm-01:50pm,60,50,10,0,0,0,0,0,0,Christopher Robert Painter- Wakefield (P),01/11-05/13,MZ 026,UG_Req
NR,10865,CSCI,262,R03 ,C,0.000,DATA STRUCTURES,F,02:00pm-02:50pm,60,33,27,0,0,0,0,0,0,"Joseph R Lovato (P), Christopher Robert Painter- Wakefield",01/11-05/13,MZ 026,UG_Req
NR,11130,CSCI,262,R04 ,C,0.000,DATA STRUCTURES,F,11:00am-11:50am,60,17,43,0,0,0,0,0,0,"Joseph R Lovato (P), Christopher Robert Painter- Wakefield",01/11-05/13,MZ 026,UG_Req
NR,10438,CSCI,274,A,C,1.000,INTRODUCTION TO THE LINUX OPERATING SYSTEM,M,02:00pm-02:50pm,60,57,3,0,0,0,0,0,0,"Seth David Dale (P), Ameliaann Blaisy Read",01/11-05/13,CK 130,UG_Req
NR,10800,CSCI,274,B,C,1.000,INTRODUCTION TO THE LINUX OPERATING SYSTEM,W,01:00pm-01:50pm,60,35,25,0,0,0,0,0,0,"Seth David Dale (P), Ameliaann Blaisy Read",01/11-05/13,MZ 026,UG_Req
NR,10862,CSCI,274,C,C,1.000,INTRODUCTION TO THE LINUX OPERATING SYSTEM,F,11:00am-11:50am,60,59,1,0,0,0,0,0,0,"Seth David Dale (P), Ameliaann Blaisy Read",01/11-05/13,CT 231,UG_Req
NR,12187,CSCI,290,A,C,1.000,PROGRAMMING CHALLENGES I,R,03:30pm-04:20pm,44,31,13,0,0,0,0,0,0,"Wendy Denise Fisher (P), Jeffrey R Paone",01/11-05/13,AH 130,No_Special_Notes
NR,12225,CSCI,295,A,C,1.000,INDUSTRY EXPLORATION I,W,03:00pm-03:59pm,40,12,28,0,0,0,0,0,0,Wendy Denise Fisher (P),01/11-05/13,CO 212,No_Special_Notes
C,10829,CSCI,303,A,C,3.000,INTRODUCTION TO DATA SCIENCE,TR,02:00pm-03:15pm,55,56,-1,0,0,0,72,71,1,"Morgan Dallas Cox (P), Wendy Denise Fisher",01/11-05/13,MZ 226,UG_Req
C,11420,CSCI,303,B,C,3.000,INTRODUCTION TO DATA SCIENCE,TR,12:30pm-01:45pm,35,40,-5,0,0,0,50,50,0,Wendy Denise Fisher (P),01/11-05/13,MZ 122,UG_Req
NR,11577,CSCI,303,OL,O,3.000,INTRODUCTION TO DATA SCIENCE,AAA,00:00zm-00:00zm,30,23,7,0,0,0,45,37,8,Wendy Denise Fisher (P),01/11-05/13,ONLINE,UG_Req
NR,10047,CSCI,306,A,C,3.000,SOFTWARE ENGINEERING,TR,12:30pm-01:45pm,60,59,1,0,0,0,0,0,0,Mark Lewis Baldwin (P),01/11-05/13,MZ 026,UG_Req
NR,10783,CSCI,306,B,C,3.000,SOFTWARE ENGINEERING,TR,02:00pm-03:15pm,60,59,1,0,0,0,0,0,0,Mark Lewis Baldwin (P),01/11-05/13,MZ 026,UG_Req
NR,11929,CSCI,306,C,C,3.000,SOFTWARE ENGINEERING,TR,12:30pm-01:45pm,50,47,3,0,0,0,0,0,0,"Mark Lewis Baldwin (P), Caleb Loyal Bartel",01/11-05/13,CK 130,UG_Req
NR,11578,CSCI,306,OL,O,3.000,SOFTWARE ENGINEERING,TR,05:00pm-06:15pm,40,32,8,0,0,0,0,0,0,"Mark Lewis Baldwin (P), Caleb Loyal Bartel",01/11-05/13,ONLINE,UG_Req
C,10863,CSCI,341,A,C,3.000,COMPUTER ORGANIZATION,TR,11:00am-12:15pm,70,70,0,0,0,0,0,0,0,Qi Han (P),01/11-05/13,BE 108,UG_Req
NR,10050,CSCI,341,B,C,3.000,COMPUTER ORGANIZATION,TR,02:00pm-03:15pm,70,69,1,0,0,0,0,0,0,"Ethan Ludlow Perry (P), Qi Han",01/11-05/13,MZ 326,UG_Req
NR,10696,CSCI,358,A,C,3.000,DISCRETE MATHEMATICS,TR,09:30am-10:45am,68,67,1,0,0,0,0,0,0,Dejun Yang (P),01/11-05/13,AH 330,UG_Req
NR,10784,CSCI,358,B,C,3.000,DISCRETE MATHEMATICS,TR,11:00am-12:15pm,68,67,1,0,0,0,0,0,0,Dejun Yang (P),01/11-05/13,AH 340,UG_Req
NR,12223,CSCI,358,C,C,3.000,DISCRETE MATHEMATICS,TR,02:00pm-03:15pm,42,29,13,0,0,0,0,0,0,Dejun Yang (P),01/11-05/13,LB 119,UG_Req
NR,10051,CSCI,400,A,C,3.000,PRINCIPLES OF PROGRAMMING LANGUAGES,TR,09:30am-10:45am,63,57,6,0,0,0,0,0,0,Neil T Dantam (P),01/11-05/13,MZ 108,UG_Req
NR,11610,CSCI,400,B,C,3.000,PRINCIPLES OF PROGRAMMING LANGUAGES,TR,11:00am-12:15pm,63,60,3,0,0,0,0,0,0,Neil T Dantam (P),01/11-05/13,MZ 108,UG_Req
NR,10830,CSCI,404,A,C,3.000,ARTIFICIAL,INTELLIGENCE,TR02:00pm-03:15,pm,148,145 3,0,0,0,0,0,0,Hua Wang (P),01/11-05/13,BE 241,UG_Req
C,10831,CSCI,406,A,C,3.000,ALGORITHMS,MWF,12:00pm-12:50pm,86,86,0,0,0,0,0,0,0,"Jonathan Sumner Van Evans (P), Dinesh Prakash Mehta",01/11-05/13,BB W250,UG_Req
NR,10153,CSCI,406,B,C,3.000,ALGORITHMS,MWF,01:00pm-01:50pm,92,90,2,0,0,0,0,0,0,"Jonathan Sumner Van Evans (P), Dinesh Prakash Mehta",01/11-05/13,CT 231,UG_Req
NR,11579,CSCI,410,A,C,3.000,ELEMENTS OF COMPUTING SYSTEMS,MWF,03:00pm-03:50pm,64,62,2,0,0,0,0,0,0,Christopher Robert Painter- Wakefield (P),01/11-05/13,BB W210,No_Special_Notes
NR,11917,CSCI,425,A,C,3.000,COMPILER DESIGN,MWF,11:00am-11:50am,40,30,10,0,0,0,0,0,0,Keith E Hellman (P),01/11-05/13,LB 121,No_Special_Notes
C,11393,CSCI,432,A,C,3.000,ROBOT ETHICS,TR,12:30pm-01:45pm,40,41,-1,0,0,0,60,59,1,"Thomas Emrys Williams (P), Qin Zhu",01/11-05/13,MZ 235,No_Special_Notes
C,10052,CSCI,442,A,C,3.000,OPERATING SYSTEMS,TR,12:30pm-01:45pm,73,73,0,0,0,0,0,0,0,Mehmet Esat Belviranli (P),01/11-05/13,MZ 126,UG_Req
NR,11442,CSCI,442,B,C,3.000,OPERATING SYSTEMS,TR,02:00pm-03:15pm,70,57,13,0,0,0,0,0,0,"Dong Chen (P), Mehmet Esat Belviranli",01/11-05/13,BB W250,UG_Req
NR,11702,CSCI,442,C,C,3.000,OPERATING SYSTEMS,TR,02:00pm-03:15pm,50,46,4,0,0,0,0,0,0,Mehmet Esat Belviranli (P),01/11-05/13,CK 150,UG_Req
NR,11913,CSCI,446,A,C,3.000,WEB APPLICATIONS,MWF,04:00pm-04:50pm,60,49,11,0,0,0,0,0,0,Eric Lawrence Dattore (P),01/11-05/13,MZ 108,No_Special_Notes
C,10701,CSCI,448,A,C,3.000,MOBILE APPLICATION DEVELOPMENT,MWF,02:00pm-02:50pm,60,60,0,0,0,0,0,0,0,Jeffrey R Paone (P),01/11-05/13,MZ 022,No_Special_Notes
C,10832,CSCI,473,A,C,3.000,HUMAN-CENTERED ROBOTICS,MW,07:30am-08:45am,44,48,-4,0,0,0,64,66,-2,Hao Zhang (P),01/11-05/13,CO 219,UG_Req
NR,10660,CSCI,474,A,C,3.000,INTRODUCTION TO CRYPTOGRAPHY,TR,09:30am-10:45am,60,49,11,0,0,0,80,64,16,"Weiping Pei (P), Chuan Yue",01/11-05/13,BB W280,No_Special_Notes
NR,12173,CSCI,474,B,C,3.000,INTRODUCTION TO CRYPTOGRAPHY,TR,12:30pm-01:45pm,22,19,3,0,0,0,40,32,8,"Weiping Pei (P), Chuan Yue",01/11-05/13,BE 106,No_Special_Notes
C,10903,CSCI,477,A,C,3.000,ELEMENTS OF GAMES AND GAME DEVELOPMENT,MWF,09:00am-09:50am,60,60,0,0,0,0,0,0,0,Kathleen Marie Kelly (P),01/11-05/13,MZ 026,No_Special_Notes
C,11914,CSCI,477,B,C,3.000,ELEMENTS OF GAMES AND GAME DEVELOPMENT,MW,11:00am-12:15pm,34,33,1,0,0,0,60,60,0,Kathleen Marie Kelly (P),01/11-05/13,MZ 026,No_Special_Notes
C,81163,CSCI,370,A,C,5.000,ADVANCED SOFTWARE ENGINEERING,TR,09:30am-12:15pm,0,0,0,0,0,0,0,0,0,"Kathleen Marie Kelly (P), Ruth Iris Bahar, Donna Marie Bodeau, Lorenzo Joseph Gallegos, Jonathan David Lindemann- Michael, Christopher Robert Painter- Wakefield, Chloe Ross, Bo Wu",01/10-05/12,GC PET,UG_Req
